"","drug","cell_line","log10_dose","viability"
"1","CISPLATIN","924238",-2.39771120224918,0.972837274883834
"2","CISPLATIN","924238",-2.2216199431935,1
"3","CISPLATIN","924238",-1.89774933665299,0.947333918343172
"4","CISPLATIN","924238",-1.72165807759731,1
"5","CISPLATIN","924238",-1.40823996531185,0.931629456245869
"6","CISPLATIN","924238",-1.3977874710568,1
"7","CISPLATIN","924238",-1.22169621200112,0.922438874967988
"8","CISPLATIN","924238",-1.10720996964787,0.772517773039589
"9","CISPLATIN","924238",-0.897825605460608,0.97583490017569
"10","CISPLATIN","924238",-0.806179973983887,0.747044088578804
"11","CISPLATIN","924238",-0.721734346404928,1
"12","CISPLATIN","924238",-0.505149978319906,0.856572055911936
"13","CISPLATIN","924238",-0.397863739864418,0.962337739175709
"14","CISPLATIN","924238",-0.221772480808737,0.998016982941735
"15","CISPLATIN","924238",-0.204119982655925,0.878914986628412
"16","CISPLATIN","924238",0.0969100130080564,0.839433599847727
"17","CISPLATIN","924238",0.102098125731771,0.977341560008246
"18","CISPLATIN","924238",0.278189384787453,0.946640320175152
"19","CISPLATIN","924238",0.397940008672038,0.823941210185166
"20","CISPLATIN","924238",0.602059991327962,0.809370601289854
"21","CISPLATIN","924238",0.698970004336019,0.287605976601405
"22","CISPLATIN","924238",0.778151250383644,0.747081213813328
"23","CISPLATIN","924238",1,0.224619729879553
"24","CISPLATIN","946369",-1.40823996531185,1
"25","CISPLATIN","946369",-1.10720996964787,1
"26","CISPLATIN","946369",-0.806179973983887,1
"27","CISPLATIN","946369",-0.505149978319906,1
"28","CISPLATIN","946369",-0.204119982655925,1
"29","CISPLATIN","946369",0.0969100130080564,0.915975554997566
"30","CISPLATIN","946369",0.397940008672038,1
"31","CISPLATIN","946369",0.698970004336019,0.704048729545987
"32","CISPLATIN","946369",1,0.676032003221288
"33","CISPLATIN","1240218",-2.39771120224918,1
"34","CISPLATIN","1240218",-2.2216199431935,1
"35","CISPLATIN","1240218",-1.89774933665299,1
"36","CISPLATIN","1240218",-1.72165807759731,0.922897700398437
"37","CISPLATIN","1240218",-1.40823996531185,1
"38","CISPLATIN","1240218",-1.3977874710568,0.948632024437434
"39","CISPLATIN","1240218",-1.22169621200112,0.920768456162739
"40","CISPLATIN","1240218",-1.10720996964787,1
"41","CISPLATIN","1240218",-0.897825605460608,1
"42","CISPLATIN","1240218",-0.806179973983887,0.904961493481132
"43","CISPLATIN","1240218",-0.721734346404926,1
"44","CISPLATIN","1240218",-0.505149978319906,0.894398949974119
"45","CISPLATIN","1240218",-0.397863739864418,1
"46","CISPLATIN","1240218",-0.221772480808737,1
"47","CISPLATIN","1240218",-0.204119982655925,0.933329820026254
"48","CISPLATIN","1240218",0.0969100130080564,1
"49","CISPLATIN","1240218",0.102098125731771,1
"50","CISPLATIN","1240218",0.278189384787453,0.957189739141788
"51","CISPLATIN","1240218",0.397940008672038,0.788460916264366
"52","CISPLATIN","1240218",0.602059991327962,1
"53","CISPLATIN","1240218",0.698970004336019,0.723555567144164
"54","CISPLATIN","1240218",0.778151250383644,1
"55","CISPLATIN","1240218",1,0.495342107664745
"56","CISPLATIN","753608",-2.39771120224918,0.937482174983987
"57","CISPLATIN","753608",-2.2216199431935,0.930115131332348
"58","CISPLATIN","753608",-1.89774933665299,0.93423849680735
"59","CISPLATIN","753608",-1.72165807759731,0.945577732909332
"60","CISPLATIN","753608",-1.40823996531185,0.937806753389799
"61","CISPLATIN","753608",-1.3977874710568,0.937279713409149
"62","CISPLATIN","753608",-1.22169621200112,0.962250284842548
"63","CISPLATIN","753608",-1.10720996964787,0.960015967221105
"64","CISPLATIN","753608",-0.897825605460608,0.949815282314798
"65","CISPLATIN","753608",-0.806179973983887,0.918300300702473
"66","CISPLATIN","753608",-0.721734346404928,0.980246843505874
"67","CISPLATIN","753608",-0.721734346404926,0.952583292535608
"68","CISPLATIN","753608",-0.505149978319906,0.928092184957171
"69","CISPLATIN","753608",-0.397863739864418,0.931747986617725
"70","CISPLATIN","753608",-0.221772480808737,0.933480031382411
"71","CISPLATIN","753608",-0.204119982655925,0.922555942948517
"72","CISPLATIN","753608",0.0969100130080564,0.978496069973656
"73","CISPLATIN","753608",0.102098125731771,0.904817055649759
"74","CISPLATIN","753608",0.278189384787453,0.946830546899817
"75","CISPLATIN","753608",0.397940008672038,0.854948561641179
"76","CISPLATIN","753608",0.602059991327962,0.869632338161676
"77","CISPLATIN","753608",0.698970004336019,0.625315761249716
"78","CISPLATIN","753608",0.778151250383644,0.876898594023665
"79","CISPLATIN","753608",1,0.392361995506078
"80","CISPLATIN","1240146",-2.39771120224918,0.910276584035003
"81","CISPLATIN","1240146",-2.2216199431935,0.950865033539921
"82","CISPLATIN","1240146",-1.89774933665299,0.964797530479297
"83","CISPLATIN","1240146",-1.72165807759731,0.998461505660355
"84","CISPLATIN","1240146",-1.40823996531185,0.846110860979046
"85","CISPLATIN","1240146",-1.3977874710568,0.998216407288214
"86","CISPLATIN","1240146",-1.22169621200112,0.96694261112057
"87","CISPLATIN","1240146",-1.10720996964787,0.982386107053177
"88","CISPLATIN","1240146",-0.897825605460608,1
"89","CISPLATIN","1240146",-0.806179973983887,1
"90","CISPLATIN","1240146",-0.721734346404926,0.936440315287826
"91","CISPLATIN","1240146",-0.505149978319906,1
"92","CISPLATIN","1240146",-0.397863739864418,1
"93","CISPLATIN","1240146",-0.221772480808737,0.926512252798814
"94","CISPLATIN","1240146",-0.204119982655925,1
"95","CISPLATIN","1240146",0.0969100130080564,1
"96","CISPLATIN","1240146",0.102098125731771,0.961587822124642
"97","CISPLATIN","1240146",0.278189384787453,0.829105960032287
"98","CISPLATIN","1240146",0.397940008672038,0.601303823693833
"99","CISPLATIN","1240146",0.602059991327962,0.84805987269814
"100","CISPLATIN","1240146",0.698970004336019,0.417950301218699
"101","CISPLATIN","1240146",0.778151250383644,0.849929010288026
"102","CISPLATIN","1240146",1,0.59467636045182
"103","CISPLATIN","1240153",-2.39771120224918,0.927367436374491
"104","CISPLATIN","1240153",-2.2216199431935,0.991737419886452
"105","CISPLATIN","1240153",-1.89774933665299,0.962658938398652
"106","CISPLATIN","1240153",-1.72165807759731,1
"107","CISPLATIN","1240153",-1.40823996531185,0.86900146151861
"108","CISPLATIN","1240153",-1.3977874710568,0.986342357292144
"109","CISPLATIN","1240153",-1.22169621200112,1
"110","CISPLATIN","1240153",-1.10720996964787,0.918842345556879
"111","CISPLATIN","1240153",-0.897825605460608,0.976934980560109
"112","CISPLATIN","1240153",-0.806179973983887,0.846067666647331
"113","CISPLATIN","1240153",-0.721734346404928,1
"114","CISPLATIN","1240153",-0.505149978319906,0.869959613117358
"115","CISPLATIN","1240153",-0.397863739864418,0.964244439245078
"116","CISPLATIN","1240153",-0.221772480808737,0.933449660125155
"117","CISPLATIN","1240153",-0.204119982655925,0.924073258950858
"118","CISPLATIN","1240153",0.0969100130080564,0.885426238026517
"119","CISPLATIN","1240153",0.102098125731771,0.970553411363149
"120","CISPLATIN","1240153",0.278189384787453,0.969079365685227
"121","CISPLATIN","1240153",0.397940008672038,0.88441438106045
"122","CISPLATIN","1240153",0.602059991327962,0.85532383422236
"123","CISPLATIN","1240153",0.698970004336019,0.64712659729164
"124","CISPLATIN","1240153",0.778151250383644,0.813690497710312
"125","CISPLATIN","1240153",1,0.56553468649741
"126","CISPLATIN","925339",-1.40823996531185,1
"127","CISPLATIN","925339",-1.10720996964787,1
"128","CISPLATIN","925339",-0.806179973983887,1
"129","CISPLATIN","925339",-0.505149978319906,1
"130","CISPLATIN","925339",-0.204119982655925,1
"131","CISPLATIN","925339",0.0969100130080564,1
"132","CISPLATIN","925339",0.397940008672038,1
"133","CISPLATIN","925339",0.698970004336019,1
"134","CISPLATIN","925339",1,1
"135","CISPLATIN","925340",-2.39771120224918,0.995653093421016
"136","CISPLATIN","925340",-2.2216199431935,1
"137","CISPLATIN","925340",-1.89774933665299,0.990980047805321
"138","CISPLATIN","925340",-1.72165807759731,1
"139","CISPLATIN","925340",-1.40823996531185,0.792353811767657
"140","CISPLATIN","925340",-1.3977874710568,0.925667219656965
"141","CISPLATIN","925340",-1.22169621200112,1
"142","CISPLATIN","925340",-1.10720996964787,0.891726618083167
"143","CISPLATIN","925340",-0.897825605460608,0.954828000391987
"144","CISPLATIN","925340",-0.806179973983887,0.909210471252302
"145","CISPLATIN","925340",-0.721734346404928,1
"146","CISPLATIN","925340",-0.505149978319906,0.843144357217807
"147","CISPLATIN","925340",-0.397863739864418,1
"148","CISPLATIN","925340",-0.221772480808737,1
"149","CISPLATIN","925340",-0.204119982655925,1
"150","CISPLATIN","925340",0.0969100130080564,1
"151","CISPLATIN","925340",0.102098125731771,0.869700482740002
"152","CISPLATIN","925340",0.278189384787453,0.91638279453655
"153","CISPLATIN","925340",0.397940008672038,0.812161164369482
"154","CISPLATIN","925340",0.602059991327962,0.891612378131964
"155","CISPLATIN","925340",0.698970004336019,0.622219886365641
"156","CISPLATIN","925340",0.778151250383644,0.656377071325938
"157","CISPLATIN","925340",1,0.427794830530946
"158","CISPLATIN","753554",-2.39771120224918,0.99952034118314
"159","CISPLATIN","753554",-2.2216199431935,1
"160","CISPLATIN","753554",-1.89774933665299,0.966573758954607
"161","CISPLATIN","753554",-1.72165807759731,0.918487074530452
"162","CISPLATIN","753554",-1.40823996531185,0.952758029741927
"163","CISPLATIN","753554",-1.3977874710568,1
"164","CISPLATIN","753554",-1.22169621200112,0.978241900908611
"165","CISPLATIN","753554",-1.10720996964787,0.935395098741089
"166","CISPLATIN","753554",-0.897825605460608,1
"167","CISPLATIN","753554",-0.806179973983887,1
"168","CISPLATIN","753554",-0.721734346404926,0.932711580012902
"169","CISPLATIN","753554",-0.505149978319906,0.92927867855432
"170","CISPLATIN","753554",-0.397863739864418,0.973663656911589
"171","CISPLATIN","753554",-0.221772480808737,1
"172","CISPLATIN","753554",-0.204119982655925,0.961529213031181
"173","CISPLATIN","753554",0.0969100130080564,0.981623926861544
"174","CISPLATIN","753554",0.102098125731771,0.986630130082399
"175","CISPLATIN","753554",0.278189384787453,1
"176","CISPLATIN","753554",0.397940008672038,0.977089858272731
"177","CISPLATIN","753554",0.602059991327962,0.932700839274936
"178","CISPLATIN","753554",0.698970004336019,0.8964921919216
"179","CISPLATIN","753554",0.778151250383644,1
"180","CISPLATIN","753554",1,0.785526607966678
"181","CISPLATIN","1240209",-2.39771120224918,0.965597831510633
"182","CISPLATIN","1240209",-2.2216199431935,0.976561932383846
"183","CISPLATIN","1240209",-1.89774933665299,1
"184","CISPLATIN","1240209",-1.72165807759731,1
"185","CISPLATIN","1240209",-1.40823996531185,1
"186","CISPLATIN","1240209",-1.3977874710568,1
"187","CISPLATIN","1240209",-1.22169621200112,1
"188","CISPLATIN","1240209",-1.10720996964787,1
"189","CISPLATIN","1240209",-0.897825605460608,1
"190","CISPLATIN","1240209",-0.806179973983887,1
"191","CISPLATIN","1240209",-0.721734346404926,1
"192","CISPLATIN","1240209",-0.505149978319906,1
"193","CISPLATIN","1240209",-0.397863739864418,1
"194","CISPLATIN","1240209",-0.221772480808737,1
"195","CISPLATIN","1240209",-0.204119982655925,1
"196","CISPLATIN","1240209",0.0969100130080564,1
"197","CISPLATIN","1240209",0.102098125731771,0.975465110811573
"198","CISPLATIN","1240209",0.278189384787453,0.98184021034566
"199","CISPLATIN","1240209",0.397940008672038,0.997479495050059
"200","CISPLATIN","1240209",0.602059991327962,0.83638788816601
"201","CISPLATIN","1240209",0.698970004336019,0.767340259097496
"202","CISPLATIN","1240209",0.778151250383644,0.829484916260356
"203","CISPLATIN","1240209",1,0.39282546255301
"204","CISPLATIN","908128",-2.39771120224918,0.995746978574237
"205","CISPLATIN","908128",-2.2216199431935,0.986940915648936
"206","CISPLATIN","908128",-1.89774933665299,1
"207","CISPLATIN","908128",-1.72165807759731,0.988376442873066
"208","CISPLATIN","908128",-1.40823996531185,0.897610349925776
"209","CISPLATIN","908128",-1.3977874710568,0.923034405800766
"210","CISPLATIN","908128",-1.22169621200112,0.952779983083794
"211","CISPLATIN","908128",-1.10720996964787,0.959228960073447
"212","CISPLATIN","908128",-0.897825605460608,0.940719272746676
"213","CISPLATIN","908128",-0.806179973983887,1
"214","CISPLATIN","908128",-0.721734346404928,1
"215","CISPLATIN","908128",-0.721734346404926,1
"216","CISPLATIN","908128",-0.505149978319906,0.928836513145282
"217","CISPLATIN","908128",-0.397863739864418,1
"218","CISPLATIN","908128",-0.221772480808737,0.961030891133751
"219","CISPLATIN","908128",-0.204119982655925,1
"220","CISPLATIN","908128",0.0969100130080564,0.943290263206132
"221","CISPLATIN","908128",0.102098125731771,0.944175722477741
"222","CISPLATIN","908128",0.278189384787453,1
"223","CISPLATIN","908128",0.397940008672038,0.836289925372013
"224","CISPLATIN","908128",0.602059991327962,0.947281269127992
"225","CISPLATIN","908128",0.698970004336019,0.820586071379562
"226","CISPLATIN","908128",0.778151250383644,0.947015308581774
"227","CISPLATIN","908128",1,0.562976210265951
"228","CISPLATIN","909732",-2.39771120224918,1
"229","CISPLATIN","909732",-2.2216199431935,1
"230","CISPLATIN","909732",-1.89774933665299,1
"231","CISPLATIN","909732",-1.72165807759731,1
"232","CISPLATIN","909732",-1.40823996531185,1
"233","CISPLATIN","909732",-1.3977874710568,0.998789249621352
"234","CISPLATIN","909732",-1.22169621200112,1
"235","CISPLATIN","909732",-1.10720996964787,1
"236","CISPLATIN","909732",-0.897825605460608,1
"237","CISPLATIN","909732",-0.806179973983887,1
"238","CISPLATIN","909732",-0.721734346404928,0.942668076834714
"239","CISPLATIN","909732",-0.505149978319906,0.96056989236262
"240","CISPLATIN","909732",-0.397863739864418,0.917153735098664
"241","CISPLATIN","909732",-0.221772480808737,0.928836897283549
"242","CISPLATIN","909732",-0.204119982655925,0.961117869835078
"243","CISPLATIN","909732",0.0969100130080564,0.898118137195055
"244","CISPLATIN","909732",0.102098125731771,0.932005380428
"245","CISPLATIN","909732",0.278189384787453,0.703917296833717
"246","CISPLATIN","909732",0.397940008672038,0.680553403936522
"247","CISPLATIN","909732",0.602059991327962,0.764582656543384
"248","CISPLATIN","909732",0.698970004336019,0.837870076379095
"249","CISPLATIN","909732",0.778151250383644,0.617418113724469
"250","CISPLATIN","909732",1,0.496256206263996
"251","CISPLATIN","909726",-1.40823996531185,1
"252","CISPLATIN","909726",-1.10720996964787,1
"253","CISPLATIN","909726",-0.806179973983887,0.774503370744022
"254","CISPLATIN","909726",-0.505149978319906,0.587224265574918
"255","CISPLATIN","909726",-0.204119982655925,0.769964921569925
"256","CISPLATIN","909726",0.0969100130080564,0.805205979406787
"257","CISPLATIN","909726",0.397940008672038,0.551744939156416
"258","CISPLATIN","909726",0.698970004336019,0.610393048608682
"259","CISPLATIN","909726",1,0.356126433629908
"260","CISPLATIN","907058",-2.39771120224918,0.913414892781784
"261","CISPLATIN","907058",-2.2216199431935,0.939720713429723
"262","CISPLATIN","907058",-1.89774933665299,0.967037194978728
"263","CISPLATIN","907058",-1.72165807759731,0.96082595365197
"264","CISPLATIN","907058",-1.40823996531185,0.530717543738976
"265","CISPLATIN","907058",-1.3977874710568,0.987957965598562
"266","CISPLATIN","907058",-1.22169621200112,0.988941761474172
"267","CISPLATIN","907058",-1.10720996964787,1
"268","CISPLATIN","907058",-0.897825605460608,1
"269","CISPLATIN","907058",-0.806179973983887,1
"270","CISPLATIN","907058",-0.721734346404928,0.962174139728884
"271","CISPLATIN","907058",-0.505149978319906,1
"272","CISPLATIN","907058",-0.397863739864418,0.899869359723287
"273","CISPLATIN","907058",-0.221772480808737,0.817893717024886
"274","CISPLATIN","907058",-0.204119982655925,1
"275","CISPLATIN","907058",0.0969100130080564,1
"276","CISPLATIN","907058",0.102098125731771,0.860049021124866
"277","CISPLATIN","907058",0.278189384787453,0.745263256190372
"278","CISPLATIN","907058",0.397940008672038,0.989410499022959
"279","CISPLATIN","907058",0.602059991327962,0.823191503987026
"280","CISPLATIN","907058",0.698970004336019,0.800266299334615
"281","CISPLATIN","907058",0.778151250383644,0.707783683252144
"282","CISPLATIN","907058",1,0.66114281502594
"283","CISPLATIN","687563",-2.39771120224918,1
"284","CISPLATIN","687563",-2.2216199431935,0.95405978672983
"285","CISPLATIN","687563",-1.89774933665299,0.973654770245275
"286","CISPLATIN","687563",-1.72165807759731,1
"287","CISPLATIN","687563",-1.40823996531185,1
"288","CISPLATIN","687563",-1.3977874710568,1
"289","CISPLATIN","687563",-1.22169621200112,1
"290","CISPLATIN","687563",-1.10720996964787,1
"291","CISPLATIN","687563",-0.897825605460608,1
"292","CISPLATIN","687563",-0.806179973983887,1
"293","CISPLATIN","687563",-0.721734346404926,0.987127137124725
"294","CISPLATIN","687563",-0.505149978319906,0.77475664058685
"295","CISPLATIN","687563",-0.397863739864418,1
"296","CISPLATIN","687563",-0.221772480808737,0.949314696090204
"297","CISPLATIN","687563",-0.204119982655925,0.927975176942929
"298","CISPLATIN","687563",0.0969100130080564,0.810362891545712
"299","CISPLATIN","687563",0.102098125731771,0.959243731676995
"300","CISPLATIN","687563",0.278189384787453,0.854857735545146
"301","CISPLATIN","687563",0.397940008672038,0.955871761815626
"302","CISPLATIN","687563",0.602059991327962,0.925495678240088
"303","CISPLATIN","687563",0.698970004336019,0.935773459880659
"304","CISPLATIN","687563",0.778151250383644,0.835926801014138
"305","CISPLATIN","687563",1,0.761464112852084
"306","CISPLATIN","930299",-2.39771120224918,1
"307","CISPLATIN","930299",-2.2216199431935,1
"308","CISPLATIN","930299",-1.89774933665299,0.990501727176933
"309","CISPLATIN","930299",-1.72165807759731,0.942107324039685
"310","CISPLATIN","930299",-1.40823996531185,0.926385978356136
"311","CISPLATIN","930299",-1.3977874710568,1
"312","CISPLATIN","930299",-1.22169621200112,1
"313","CISPLATIN","930299",-1.10720996964787,0.981823486175444
"314","CISPLATIN","930299",-0.897825605460608,1
"315","CISPLATIN","930299",-0.806179973983887,0.933914051670608
"316","CISPLATIN","930299",-0.721734346404928,0.967828799764725
"317","CISPLATIN","930299",-0.505149978319906,0.962387066311475
"318","CISPLATIN","930299",-0.397863739864418,0.966694899864407
"319","CISPLATIN","930299",-0.221772480808737,1
"320","CISPLATIN","930299",-0.204119982655925,0.859858061313019
"321","CISPLATIN","930299",0.0969100130080564,0.908579520027941
"322","CISPLATIN","930299",0.102098125731771,0.949684939542453
"323","CISPLATIN","930299",0.278189384787453,0.863855085476465
"324","CISPLATIN","930299",0.397940008672038,0.888036967921044
"325","CISPLATIN","930299",0.602059991327962,0.960702435593557
"326","CISPLATIN","930299",0.698970004336019,0.815069534977303
"327","CISPLATIN","930299",0.778151250383644,0.904104106836112
"328","CISPLATIN","930299",1,0.686819734306026
"329","CISPLATIN","1240178",-1.40823996531185,0.75697873195908
"330","CISPLATIN","1240178",-1.10720996964787,0.821153273549312
"331","CISPLATIN","1240178",-0.806179973983887,0.818459503856337
