,drug,cell_line,name,tissue,histology,log10_dose,viability
1,CISPLATIN,924238,K5,thyroid,carcinoma,-1.408239965,0.931629456
2,CISPLATIN,924238,K5,thyroid,carcinoma,-1.10720997,0.772517773
3,CISPLATIN,924238,K5,thyroid,carcinoma,-0.806179974,0.747044089
4,CISPLATIN,924238,K5,thyroid,carcinoma,-0.505149978,0.856572056
5,CISPLATIN,924238,K5,thyroid,carcinoma,-0.204119983,0.878914987
6,CISPLATIN,924238,K5,thyroid,carcinoma,0.096910013,0.8394336
7,CISPLATIN,924238,K5,thyroid,carcinoma,0.397940009,0.82394121
8,CISPLATIN,924238,K5,thyroid,carcinoma,0.698970004,0.287605977
9,CISPLATIN,924238,K5,thyroid,carcinoma,1,0.22461973
10,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,-1.408239965,1
11,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,-1.10720997,1
12,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,-0.806179974,1
13,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,-0.505149978,1
14,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,-0.204119983,1
15,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,0.096910013,0.915975555
16,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,0.397940009,1
17,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,0.698970004,0.70404873
18,CISPLATIN,946369,D-336MG,central_nervous_system,glioma,1,0.676032003
19,CISPLATIN,1240218,SU8686,pancreas,carcinoma,-1.408239965,1
20,CISPLATIN,1240218,SU8686,pancreas,carcinoma,-1.10720997,1
21,CISPLATIN,1240218,SU8686,pancreas,carcinoma,-0.806179974,0.904961493
22,CISPLATIN,1240218,SU8686,pancreas,carcinoma,-0.505149978,0.89439895
23,CISPLATIN,1240218,SU8686,pancreas,carcinoma,-0.204119983,0.93332982
24,CISPLATIN,1240218,SU8686,pancreas,carcinoma,0.096910013,1
25,CISPLATIN,1240218,SU8686,pancreas,carcinoma,0.397940009,0.788460916
26,CISPLATIN,1240218,SU8686,pancreas,carcinoma,0.698970004,0.723555567
27,CISPLATIN,1240218,SU8686,pancreas,carcinoma,1,0.495342108
28,CISPLATIN,753608,PC-14,lung,carcinoma,-1.408239965,0.937806753
29,CISPLATIN,753608,PC-14,lung,carcinoma,-1.10720997,0.960015967
30,CISPLATIN,753608,PC-14,lung,carcinoma,-0.806179974,0.918300301
31,CISPLATIN,753608,PC-14,lung,carcinoma,-0.505149978,0.928092185
32,CISPLATIN,753608,PC-14,lung,carcinoma,-0.204119983,0.922555943
33,CISPLATIN,753608,PC-14,lung,carcinoma,0.096910013,0.97849607
34,CISPLATIN,753608,PC-14,lung,carcinoma,0.397940009,0.854948562
35,CISPLATIN,753608,PC-14,lung,carcinoma,0.698970004,0.625315761
36,CISPLATIN,753608,PC-14,lung,carcinoma,1,0.392361996
37,CISPLATIN,1240146,HCC-827,lung,carcinoma,-1.408239965,0.846110861
38,CISPLATIN,1240146,HCC-827,lung,carcinoma,-1.10720997,0.982386107
39,CISPLATIN,1240146,HCC-827,lung,carcinoma,-0.806179974,1
40,CISPLATIN,1240146,HCC-827,lung,carcinoma,-0.505149978,1
41,CISPLATIN,1240146,HCC-827,lung,carcinoma,-0.204119983,1
42,CISPLATIN,1240146,HCC-827,lung,carcinoma,0.096910013,1
43,CISPLATIN,1240146,HCC-827,lung,carcinoma,0.397940009,0.601303824
44,CISPLATIN,1240146,HCC-827,lung,carcinoma,0.698970004,0.417950301
45,CISPLATIN,1240146,HCC-827,lung,carcinoma,1,0.59467636
46,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,-1.408239965,0.869001462
47,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,-1.10720997,0.918842346
48,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,-0.806179974,0.846067667
49,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,-0.505149978,0.869959613
50,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,-0.204119983,0.924073259
51,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,0.096910013,0.885426238
52,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,0.397940009,0.884414381
53,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,0.698970004,0.647126597
54,CISPLATIN,1240153,IGR-37,skin,malignant_melanoma,1,0.565534686
55,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,-1.408239965,1
56,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,-1.10720997,1
57,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,-0.806179974,1
58,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,-0.505149978,1
59,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,-0.204119983,1
60,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,0.096910013,1
61,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,0.397940009,1
62,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,0.698970004,1
63,CISPLATIN,925339,MMAC-SF,skin,malignant_melanoma,1,1
64,CISPLATIN,925340,MKN45,stomach,carcinoma,-1.408239965,0.792353812
65,CISPLATIN,925340,MKN45,stomach,carcinoma,-1.10720997,0.891726618
66,CISPLATIN,925340,MKN45,stomach,carcinoma,-0.806179974,0.909210471
67,CISPLATIN,925340,MKN45,stomach,carcinoma,-0.505149978,0.843144357
68,CISPLATIN,925340,MKN45,stomach,carcinoma,-0.204119983,1
69,CISPLATIN,925340,MKN45,stomach,carcinoma,0.096910013,1
70,CISPLATIN,925340,MKN45,stomach,carcinoma,0.397940009,0.812161164
71,CISPLATIN,925340,MKN45,stomach,carcinoma,0.698970004,0.622219886
72,CISPLATIN,925340,MKN45,stomach,carcinoma,1,0.427794831
73,CISPLATIN,753554,EBC-1,lung,carcinoma,-1.408239965,0.95275803
74,CISPLATIN,753554,EBC-1,lung,carcinoma,-1.10720997,0.935395099
75,CISPLATIN,753554,EBC-1,lung,carcinoma,-0.806179974,1
76,CISPLATIN,753554,EBC-1,lung,carcinoma,-0.505149978,0.929278679
77,CISPLATIN,753554,EBC-1,lung,carcinoma,-0.204119983,0.961529213
78,CISPLATIN,753554,EBC-1,lung,carcinoma,0.096910013,0.981623927
79,CISPLATIN,753554,EBC-1,lung,carcinoma,0.397940009,0.977089858
80,CISPLATIN,753554,EBC-1,lung,carcinoma,0.698970004,0.896492192
81,CISPLATIN,753554,EBC-1,lung,carcinoma,1,0.785526608
82,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,-1.408239965,1
83,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,-1.10720997,1
84,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,-0.806179974,1
85,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,-0.505149978,1
86,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,-0.204119983,1
87,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,0.096910013,1
88,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,0.397940009,0.997479495
89,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,0.698970004,0.767340259
90,CISPLATIN,1240209,RERF-GC-1B,stomach,carcinoma,1,0.392825463
91,CISPLATIN,908128,Mewo,skin,malignant_melanoma,-1.408239965,0.89761035
92,CISPLATIN,908128,Mewo,skin,malignant_melanoma,-1.10720997,0.95922896
93,CISPLATIN,908128,Mewo,skin,malignant_melanoma,-0.806179974,1
94,CISPLATIN,908128,Mewo,skin,malignant_melanoma,-0.505149978,0.928836513
95,CISPLATIN,908128,Mewo,skin,malignant_melanoma,-0.204119983,1
96,CISPLATIN,908128,Mewo,skin,malignant_melanoma,0.096910013,0.943290263
97,CISPLATIN,908128,Mewo,skin,malignant_melanoma,0.397940009,0.836289925
98,CISPLATIN,908128,Mewo,skin,malignant_melanoma,0.698970004,0.820586071
99,CISPLATIN,908128,Mewo,skin,malignant_melanoma,1,0.56297621
100,CISPLATIN,909732,SK-UT-1,soft_tissue,leiomyosarcoma,-1.408239965,1
101,CISPLATIN,909732,SK-UT-1,soft_tissue,leiomyosarcoma,-1.10720997,1
102,CISPLATIN,909732,SK-UT-1,soft_tissue,leiomyosarcoma,-0.806179974,1
