"","cell_line","COSMIC_ID","drug","log10_dose","viability"
"1","22RV1",924100,"Navitoclax",-2.6987,0.996819525090712
"2","22RV1",924100,"Navitoclax",-2.3008,0.927539012916306
"3","22RV1",924100,"Navitoclax",-2.1988,1.02228894928021
"4","22RV1",924100,"Navitoclax",-1.9998,1.03880461921606
"5","22RV1",924100,"Navitoclax",-1.8008,0.923462814221881
"6","22RV1",924100,"Navitoclax",-1.6988,1.00280679896172
"7","22RV1",924100,"Navitoclax",-1.4998,1.00666852120462
"8","22RV1",924100,"Navitoclax",-1.3009,0.915267509478354
"9","22RV1",924100,"Navitoclax",-1.1989,1.05076768389702
"10","22RV1",924100,"Navitoclax",-0.9998,1.06690795198684
"11","22RV1",924100,"Navitoclax",-0.8009,0.98087285478125
"12","22RV1",924100,"Navitoclax",-0.6989,0.960880208372854
"13","22RV1",924100,"Navitoclax",-0.4999,1.1391616625485
"14","22RV1",924100,"Navitoclax",-0.301,0.948048728452463
"15","22RV1",924100,"Navitoclax",-0.1989,1.02829189664302
"16","22RV1",924100,"Navitoclax",1e-04,1.12311461752841
"17","22RV1",924100,"Navitoclax",0.199,0.907072204734827
"18","22RV1",924100,"Navitoclax",0.301,1.01929531234471
"19","22RV1",924100,"Navitoclax",0.5,1.03880461921606
"20","22RV1",924100,"Navitoclax",0.699,0.943972529758038
"21","22RV1",924100,"Navitoclax",1,0.617254627654287
"22","23132-87",910924,"Navitoclax",-2.6987,0.972721136624608
"23","23132-87",910924,"Navitoclax",-2.3008,0.923533152242335
"24","23132-87",910924,"Navitoclax",-2.1988,0.975928542933065
"25","23132-87",910924,"Navitoclax",-1.9998,1.01892587072579
"26","23132-87",910924,"Navitoclax",-1.8008,0.894630431396314
"27","23132-87",910924,"Navitoclax",-1.6988,0.91685881008567
"28","23132-87",910924,"Navitoclax",-1.4998,1.04719653505762
"29","23132-87",910924,"Navitoclax",-1.3009,0.94242074423706
"30","23132-87",910924,"Navitoclax",-1.1989,1.0174410672899
"31","23132-87",910924,"Navitoclax",-0.9998,1.04719653505762
"32","23132-87",910924,"Navitoclax",-0.8009,0.859308617897282
"33","23132-87",910924,"Navitoclax",-0.6989,0.902475597421188
"34","23132-87",910924,"Navitoclax",-0.4999,0.797126473727762
"35","23132-87",910924,"Navitoclax",-0.301,0.84001773212331
"36","23132-87",910924,"Navitoclax",-0.1989,0.878520281554908
"37","23132-87",910924,"Navitoclax",1e-04,0.681887807681157
"38","23132-87",910924,"Navitoclax",0.199,0.676213242119234
"39","23132-87",910924,"Navitoclax",0.301,0.94079742071076
"40","23132-87",910924,"Navitoclax",0.5,0.264457569515613
"41","23132-87",910924,"Navitoclax",0.699,0.573440544041174
"42","23132-87",910924,"Navitoclax",1,0.179699476738116
"43","42-MG-BA",687561,"Navitoclax",-2.6987,1.14912634289613
"44","42-MG-BA",687561,"Navitoclax",-2.3008,0.951710120389815
"45","42-MG-BA",687561,"Navitoclax",-2.1988,1.04992339447442
"46","42-MG-BA",687561,"Navitoclax",-1.9998,1.04384404649287
"47","42-MG-BA",687561,"Navitoclax",-1.8008,1.00062238385775
"48","42-MG-BA",687561,"Navitoclax",-1.6988,0.933191887701335
"49","42-MG-BA",687561,"Navitoclax",-1.4998,0.945166956322327
"50","42-MG-BA",687561,"Navitoclax",-1.3009,0.978692237561094
"51","42-MG-BA",687561,"Navitoclax",-1.1989,0.966394743685935
"52","42-MG-BA",687561,"Navitoclax",-0.9998,0.856037989231064
"53","42-MG-BA",687561,"Navitoclax",-0.8009,0.874437929512066
"54","42-MG-BA",687561,"Navitoclax",-0.6989,1.03839221063335
"55","42-MG-BA",687561,"Navitoclax",-0.4999,1.09158466188925
"56","42-MG-BA",687561,"Navitoclax",-0.301,0.945797018116109
"57","42-MG-BA",687561,"Navitoclax",-0.1989,1.06330883903366
"58","42-MG-BA",687561,"Navitoclax",1e-04,1.1106809080478
"59","42-MG-BA",687561,"Navitoclax",0.199,0.868984097317872
"60","42-MG-BA",687561,"Navitoclax",0.301,0.944230533539147
"61","42-MG-BA",687561,"Navitoclax",0.5,0.910130868328949
"62","42-MG-BA",687561,"Navitoclax",0.699,0.929320704013647
"63","42-MG-BA",687561,"Navitoclax",1,0.337243483572361
"64","451Lu",1287706,"Navitoclax",-2.6987,0.870211437933994
"65","451Lu",1287706,"Navitoclax",-2.1988,0.787560791656914
"66","451Lu",1287706,"Navitoclax",-1.6988,0.800622870666563
"67","451Lu",1287706,"Navitoclax",-1.1989,0.835439910535487
"68","451Lu",1287706,"Navitoclax",-0.6989,0.749148266625055
"69","451Lu",1287706,"Navitoclax",-0.1989,0.870211437933994
"70","451Lu",1287706,"Navitoclax",0.301,0.796299185976958
"71","5637",687452,"Navitoclax",-2.6987,0.993843752153725
"72","5637",687452,"Navitoclax",-2.3008,0.824066348981098
